"Player","Team","Position","Started","Total Snaps","Off Snaps","Off Snap Pct","Def Snaps","Def Snap Pct","ST Snaps","ST Snap Pct"
"1-C.Newton","CAR","QB","YES","78","78","100.0","0","0.0%","0","0.0%"
"10-C.Daniel","KC","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"10-E.Manning","NYG","QB","YES","71","71","100.0","0","0.0%","0","0.0%"
"10-J.Garoppolo","NE","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"10-K.Clemens","SD","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"10-R.Griffin","WAS","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"11-A.Smith","KC","QB","YES","64","64","100.0","0","0.0%","0","0.0%"
"12-A.Luck","IND","QB","YES","64","64","100.0","0","0.0%","0","0.0%"
"12-A.Rodgers","GB","QB","YES","71","71","100.0","0","0.0%","0","0.0%"
"12-C.Whitehurst","TEN","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"12-R.Nassib","NYG","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"12-S.Renfree","ATL","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"12-T.Brady","NE","QB","YES","86","86","100.0","0","0.0%","0","0.0%"
"13-J.McCown","CLE","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"13-S.Hill","MIN","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"13-T.Siemian","DEN","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"14-A.Dalton","CIN","QB","YES","66","66","100.0","0","0.0%","0","0.0%"
"14-J.Webb","CAR","QB","NO","23","0","0.0%","0","0.0%","23","72.0%"
"14-M.McGloin","OAK","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"14-R.Fitzpatrick","NYJ","QB","YES","69","69","100.0","0","0.0%","0","0.0%"
"14-S.Mannion","STL","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"15-R.Mallett","HOU","QB","YES","88","88","100.0","0","0.0%","0","0.0%"
"16-C.McCoy","WAS","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"16-M.Cassel","BUF","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"16-S.Tolzien","GB","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"17-B.Osweiler","DEN","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"17-C.Keenum","STL","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"17-P.Rivers","SD","QB","YES","63","63","100.0","0","0.0%","0","0.0%"
"17-R.Tannehill","MIA","QB","YES","68","68","100.0","0","0.0%","0","0.0%"
"18-G.Grayson","NO","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"18-P.Manning","DEN","QB","YES","73","73","100.0","0","0.0%","0","0.0%"
"2-B.Gabbert","SF","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"2-J.Manziel","CLE","QB","YES","49","49","100.0","0","0.0%","0","0.0%"
"2-M.Ryan","ATL","QB","YES","72","72","100.0","0","0.0%","0","0.0%"
"2-M.Vick","PIT","QB","NO","4","4","7.0%","0","0.0%","0","0.0%"
"3-B.Weeden","DAL","QB","NO","27","27","32.0%","0","0.0%","0","0.0%"
"3-C.Palmer","ARI","QB","YES","59","59","100.0","0","0.0%","0","0.0%"
"3-D.Anderson","CAR","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"3-E.Manuel","BUF","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"3-J.Winston","TB","QB","YES","66","66","100.0","0","0.0%","0","0.0%"
"3-L.Jones","PIT","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"3-M.Sanchez","PHI","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"3-R.Wilson","SEA","QB","YES","60","60","100.0","0","0.0%","0","0.0%"
"4-D.Carr","OAK","QB","YES","74","74","100.0","0","0.0%","0","0.0%"
"4-R.Griffin","TB","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"4-S.Morris","PHI","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"5-A.McCarron","CIN","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"5-B.Bortles","JAC","QB","YES","73","73","100.0","0","0.0%","0","0.0%"
"5-D.Stanton","ARI","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"5-J.Flacco","BAL","QB","YES","82","82","100.0","0","0.0%","0","0.0%"
"5-N.Foles","STL","QB","YES","52","52","100.0","0","0.0%","0","0.0%"
"5-T.Bridgewater","MIN","QB","YES","65","65","100.0","0","0.0%","0","0.0%"
"5-T.Taylor","BUF","QB","YES","72","72","100.0","0","0.0%","0","0.0%"
"6-J.Cutler","CHI","QB","YES","28","28","39.0%","0","0.0%","0","0.0%"
"6-T.Heinicke","MIN","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"7-A.Davis","CLE","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"7-A.Murray","KC","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"7-B.Hoyer","HOU","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"7-B.Hundley","GB","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"7-B.Roethlisberger","PIT","QB","YES","53","53","93.0%","0","0.0%","0","0.0%"
"7-C.Henne","JAC","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"7-C.Kaepernick","SF","QB","YES","90","90","100.0","0","0.0%","0","0.0%"
"7-G.Smith","NYJ","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"7-L.McCown","NO","QB","NO","3","0","0.0%","0","0.0%","3","11.0%"
"7-S.Bradford","PHI","QB","YES","62","62","100.0","0","0.0%","0","0.0%"
"7-T.Jackson","SEA","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"7-Z.Mettenberger","TEN","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"8-D.Orlovsky","DET","QB","NO","1","0","0.0%","0","0.0%","1","4.0%"
"8-J.Clausen","CHI","QB","NO","44","44","61.0%","0","0.0%","0","0.0%"
"8-K.Cousins","WAS","QB","YES","72","72","100.0","0","0.0%","0","0.0%"
"8-M.Glennon","TB","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"8-M.Hasselbeck","IND","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"8-M.Mariota","TEN","QB","YES","80","80","100.0","0","0.0%","0","0.0%"
"8-M.Moore","MIA","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"8-M.Schaub","BAL","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"9-B.Petty","NYJ","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"9-D.Brees","NO","QB","YES","78","78","100.0","0","0.0%","0","0.0%"
"9-M.Barkley","ARI","QB","NO","0","0","0.0%","0","0.0%","0","0.0%"
"9-M.Stafford","DET","QB","YES","78","78","100.0","0","0.0%","0","0.0%"
"9-T.Romo","DAL","QB","YES","58","58","68.0%","0","0.0%","0","0.0%"
